sensor,algorithm,sensor_cat,algo_cat,f1_total_cost_USD,detection_recall,f3_latency_seconds,cost_millions
Camera_FLIR_A700,Traditional_Canny_Optimized,Camera,Traditional,310426.14129051747,0.8712476788937645,66.95597427160783,0.3104261412905175
Camera_Basler_ace2Pro,Traditional_Canny_Optimized,Camera,Traditional,443176.3345102988,0.9781270831984376,128.42330713159987,0.4431763345102988
Camera_Basler_ace2Pro,DL_YOLOv8_SOTA,Camera,DL,639095.8082209746,0.9692417225701024,174.27748126672813,0.6390958082209747
Camera_FLIR_A700,Traditional_Canny_Optimized,Camera,Traditional,662750.8069554508,0.8659197882038591,151.89751692846974,0.6627508069554507
Camera_FLIR_A700,Traditional_Canny_Optimized,Camera,Traditional,730484.110216978,0.9788535405590448,101.44843708144516,0.730484110216978
Camera_Basler_ace2Pro,Traditional_Canny_Optimized,Camera,Traditional,742806.6893198865,0.8745027931311108,66.11264891992113,0.7428066893198865
Camera_Basler_ace2Pro,Traditional_Canny_Optimized,Camera,Traditional,746419.6468016771,0.9728843811012926,66.55762581342621,0.746419646801677
Camera_FLIR_A700,Traditional_Canny_Optimized,Camera,Traditional,753544.1049020439,0.9300355199849556,193.4577565900718,0.7535441049020439
Camera_FLIR_A700,Traditional_Canny_Optimized,Camera,Traditional,774006.2334955842,0.8751484475726421,66.95614680583643,0.7740062334955842
Camera_FLIR_A700,Hybrid_CNN_SVM,Camera,ML,797077.5559790643,0.9870992471100628,67.581861887964,0.7970775559790643
Camera_Basler_ace2Pro,Traditional_Canny_Optimized,Camera,Traditional,802455.7364568203,0.8572500016377703,173.37071428053312,0.8024557364568202
Camera_Basler_ace2Pro,Traditional_Canny_Optimized,Camera,Traditional,868147.5243366248,0.9768160497403444,121.08703063303696,0.8681475243366248
Camera_Basler_ace2Pro,Traditional_Canny_Optimized,Camera,Traditional,1036621.891100856,0.9729998101245068,66.60896330087303,1.036621891100856
Camera_FLIR_A700,Traditional_Canny_Optimized,Camera,Traditional,1050738.7044730475,0.9730903994034988,66.44561117965354,1.0507387044730476
Camera_Basler_ace2Pro,Traditional_Canny_Optimized,Camera,Traditional,1194080.8114724853,0.9729998101245068,66.55794927406205,1.1940808114724852
Camera_Basler_ace2Pro,Traditional_Canny_Optimized,Camera,Traditional,3226735.0118340766,0.9730903994034988,70.66066133134422,3.2267350118340765
Camera_FLIR_A700,Traditional_Canny_Optimized,Camera,Traditional,3240711.201073031,0.9730914394434946,70.52883088904535,3.240711201073031
Camera_FLIR_A700,Traditional_Canny_Optimized,Camera,Traditional,3299610.6113514258,0.9731393068531008,70.53094421053567,3.299610611351426
IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,IoT,Traditional,4543081.130702133,0.93836603669304,74.80642856097337,4.5430811307021335
IoT_LoRaWAN_Sensor,DL_YOLOv8_SOTA,IoT,DL,4641338.051932282,0.9886816880282292,7.203704132570344,4.641338051932282
IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,IoT,Traditional,4713742.691230059,0.9724483763536456,14.895477443718956,4.713742691230059
IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,IoT,Traditional,4850833.644776722,0.8766505862830881,7.129451878709979,4.850833644776722
IoT_LoRaWAN_Sensor,DL_YOLOv8_SOTA,IoT,DL,4902142.062587839,0.9881795044498242,122.047518851453,4.9021420625878385
IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,IoT,Traditional,5020518.778123884,0.8072458953212179,9.795188783436526,5.0205187781238845
IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,IoT,Traditional,5020519.184202322,0.9422476105922992,15.982657476094548,5.020519184202322
IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,IoT,Traditional,5036161.276457301,0.9033605779417688,106.99445363233232,5.036161276457301
IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,IoT,Traditional,5044654.492693579,0.9730883245410566,85.91566610283006,5.044654492693579
IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,IoT,Traditional,5133170.349737689,0.973087644991216,199.662879329476,5.133170349737689
IoT_LoRaWAN_Sensor,Hybrid_CNN_SVM,IoT,ML,5423492.054668645,0.9896774556573664,11.067055543642129,5.423492054668645
IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,IoT,Traditional,7228357.5007273955,0.9038238460760872,12.769584944618671,7.2283575007273955
IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,IoT,Traditional,7324799.70168744,0.978677345541416,11.088209551112705,7.32479970168744
