f1_total_cost_USD,detection_recall,f3_latency_seconds,f4_traffic_disruption_hours,f5_carbon_emissions_kgCO2e_year,algo_type
0.0,0.6491737314825523,0.3107331707798973,0.34961957199622234,0.6435575723301622,Traditional
0.01892545244086906,0.06331345540018485,0.6299885524237433,0.37563478911637355,0.7024484246074433,Traditional
0.04685659583146848,0.11201862796990325,0.8681506977834312,1.0,0.5462511224847855,DL
0.05022895667464228,0.6783786052450103,0.7519113276409072,0.34961957199622234,0.6368324338736543,Traditional
0.05988531481957324,0.059331373795068365,0.48988368644117186,0.34961957199622234,1.0,Traditional
0.061642075989591566,0.6313307977744351,0.3063530204711809,0.6878173945581867,0.5451803325347581,Traditional
0.062157155126834736,0.09205136723673735,0.3086641874170811,0.6878173945581867,0.5503795684112976,Traditional
0.06317284926388377,0.32692772874668485,0.9677711926621627,0.34961957199622234,0.634257707700552,Traditional
0.06609002047202546,0.6277916379912177,0.3107340669059928,0.6409900037419147,0.6385785440255516,Traditional
0.06937916985718803,0.014132469966013583,0.31398397052227567,0.34961957199622234,0.6339949864995522,ML
0.07014590696228336,0.7259021069358021,0.8634410377612676,1.0,0.5539785390179616,Traditional
0.07951121767950829,0.07049989537623624,0.5918846418680612,0.6878173945581867,0.84332064035436,Traditional
0.10352966570107298,0.09141864215889739,0.3089308293614258,0.37563478911637355,0.5816880951736559,Traditional
0.10554222081389088,0.09092207632990845,0.30808239424352263,0.34961957199622234,0.6563722854642028,Traditional
0.12597770315100873,0.09141864215889739,0.30866586744033797,1.0,0.5784626089084778,Traditional
0.4157618417999588,0.09092207632990845,0.3299749570441747,0.37563478911637355,0.5836784549515681,Traditional
0.41775434891675445,0.0909163753426786,0.3292902424777518,0.34961957199622234,0.6605042030468604,Traditional
0.4261513083560037,0.09065398976905326,0.3293012188651682,0.6409900037419147,0.6606348004954562,Traditional
0.6034259443080049,0.2812639373898902,0.3515076710488079,0.01167477414871439,0.0017003039813894116,Traditional
0.6174338839171678,0.005458307911758387,0.00038565902473923746,0.0,0.0023238225052093363,DL
0.6277562083092664,0.09444133061173487,0.04033598564070064,0.023349548297428777,0.0017727725613999534,Traditional
0.6473004986676638,0.6195576531057178,0.0,0.0,0.0017127149133393295,Traditional
0.6546152527749733,0.008211031056151286,0.5968733247743666,0.023349548297428777,0.0,DL
0.6714915589079115,1.0,0.013845579648283255,0.023349548297428777,0.0017292449731624918,Traditional
0.6714916168002427,0.25998706023054863,0.045982693574851984,0.023349548297428777,0.0017418381361483496,Traditional
0.6737216223909478,0.47314662855785516,0.5186891599857874,0.023349548297428777,1.720854404594869e-05,Traditional
0.674932452718581,0.09093344970433093,0.40920797633578204,0.023349548297428777,0.0017289808967092105,Traditional
0.6875516632983925,0.0909371746620048,1.0,0.023349548297428777,3.948969361468218e-05,Traditional
0.7289412047066388,0.0,0.02045153258355129,0.0,0.00023573813536503343,ML
0.9862507749081748,0.47060722071929484,0.029294305620518636,0.023349548297428777,4.808842751938452e-05,Traditional
1.0,0.06029718813828899,0.020561404452299824,0.023349548297428777,0.0005101569917210819,Traditional
