cost_millions,recall,algo_type
0.3104261412905175,0.8712476788937645,Traditional
0.4431763345102988,0.9781270831984376,Traditional
0.6390958082209747,0.9692417225701024,DL
0.6627508069554507,0.8659197882038591,Traditional
0.730484110216978,0.9788535405590448,Traditional
0.7428066893198865,0.8745027931311108,Traditional
0.746419646801677,0.9728843811012926,Traditional
0.7535441049020439,0.9300355199849556,Traditional
0.7740062334955842,0.8751484475726421,Traditional
0.7970775559790643,0.9870992471100628,ML
0.8024557364568202,0.8572500016377703,Traditional
0.8681475243366248,0.9768160497403444,Traditional
1.036621891100856,0.9729998101245068,Traditional
1.0507387044730476,0.9730903994034988,Traditional
1.1940808114724852,0.9729998101245068,Traditional
3.2267350118340765,0.9730903994034988,Traditional
3.240711201073031,0.9730914394434946,Traditional
3.299610611351426,0.9731393068531008,Traditional
4.5430811307021335,0.93836603669304,Traditional
4.641338051932282,0.9886816880282292,DL
4.713742691230059,0.9724483763536456,Traditional
4.850833644776722,0.8766505862830881,Traditional
4.9021420625878385,0.9881795044498242,DL
5.0205187781238845,0.8072458953212179,Traditional
5.020519184202322,0.9422476105922992,Traditional
5.036161276457301,0.9033605779417688,Traditional
5.044654492693579,0.9730883245410566,Traditional
5.133170349737689,0.973087644991216,Traditional
5.423492054668645,0.9896774556573664,ML
7.2283575007273955,0.9038238460760872,Traditional
7.32479970168744,0.978677345541416,Traditional
