sensor,algorithm,deployment,crew_size,sensor_cat,algo_cat
Camera_FLIR_A700,Traditional_Canny_Optimized,Deployment_Jetson_OrinNano,1,Camera,Traditional
Camera_Basler_ace2Pro,Traditional_Canny_Optimized,Deployment_Cloud_GPU_A4000,1,Camera,Traditional
Camera_Basler_ace2Pro,DL_YOLOv8_SOTA,Deployment_Jetson_OrinNano,6,Camera,DL
Camera_FLIR_A700,Traditional_Canny_Optimized,Deployment_Jetson_OrinNano,1,Camera,Traditional
Camera_FLIR_A700,Traditional_Canny_Optimized,Deployment_Jetson_OrinNano,1,Camera,Traditional
Camera_Basler_ace2Pro,Traditional_Canny_Optimized,Deployment_Jetson_OrinNano,3,Camera,Traditional
Camera_Basler_ace2Pro,Traditional_Canny_Optimized,Deployment_Jetson_OrinNano,3,Camera,Traditional
Camera_FLIR_A700,Traditional_Canny_Optimized,Deployment_Cloud_GPU_A4000,1,Camera,Traditional
Camera_FLIR_A700,Traditional_Canny_Optimized,Deployment_Jetson_OrinNano,3,Camera,Traditional
Camera_FLIR_A700,Hybrid_CNN_SVM,Deployment_Jetson_OrinNano,1,Camera,ML
Camera_Basler_ace2Pro,Traditional_Canny_Optimized,Deployment_Jetson_OrinNano,6,Camera,Traditional
Camera_Basler_ace2Pro,Traditional_Canny_Optimized,Deployment_Cloud_GPU_A4000,3,Camera,Traditional
Camera_Basler_ace2Pro,Traditional_Canny_Optimized,Deployment_Jetson_OrinNano,1,Camera,Traditional
Camera_FLIR_A700,Traditional_Canny_Optimized,Deployment_Jetson_OrinNano,1,Camera,Traditional
Camera_Basler_ace2Pro,Traditional_Canny_Optimized,Deployment_Jetson_OrinNano,6,Camera,Traditional
Camera_Basler_ace2Pro,Traditional_Canny_Optimized,Deployment_Cloud_GPU_A4000,1,Camera,Traditional
Camera_FLIR_A700,Traditional_Canny_Optimized,Deployment_Cloud_GPU_A4000,1,Camera,Traditional
Camera_FLIR_A700,Traditional_Canny_Optimized,Deployment_Cloud_GPU_A4000,3,Camera,Traditional
IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,Deployment_Jetson_OrinNano,3,IoT,Traditional
IoT_LoRaWAN_Sensor,DL_YOLOv8_SOTA,Deployment_Jetson_OrinNano,1,IoT,DL
IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,Deployment_Jetson_OrinNano,6,IoT,Traditional
IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,Deployment_Jetson_OrinNano,1,IoT,Traditional
IoT_LoRaWAN_Sensor,DL_YOLOv8_SOTA,Deployment_Cloud_GPU_A4000,6,IoT,DL
IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,Deployment_Jetson_OrinNano,6,IoT,Traditional
IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,Deployment_Jetson_OrinNano,6,IoT,Traditional
IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,Deployment_Cloud_GPU_A4000,6,IoT,Traditional
IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,Deployment_Jetson_OrinNano,6,IoT,Traditional
IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,Deployment_Cloud_GPU_A4000,6,IoT,Traditional
IoT_LoRaWAN_Sensor,Hybrid_CNN_SVM,Deployment_Cloud_GPU_A4000,1,IoT,ML
IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,Deployment_Cloud_GPU_A4000,6,IoT,Traditional
IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,Deployment_Cloud_GPU_A4000,6,IoT,Traditional
